,,Value,Value
,,sum,count
Item,Year,,
Mangoes guavas and mangosteens,2017,414613.0,2
Mangoes guavas and mangosteens,2018,412649.71,2
Mangoes guavas and mangosteens,2019,463553.0,2
Mangoes guavas and mangosteens,2020,552066.94,2
Mangoes guavas and mangosteens,2021,489781.13,2
Natural rubber in primary forms,2012,0.0,2
Natural rubber in primary forms,2013,0.0,2
Natural rubber in primary forms,2014,0.0,2
Natural rubber in primary forms,2015,0.0,2
Natural rubber in primary forms,2016,0.0,2
Natural rubber in primary forms,2017,0.0,2
Natural rubber in primary forms,2018,0.0,2
Natural rubber in primary forms,2019,0.0,2
Natural rubber in primary forms,2020,0.0,2
Natural rubber in primary forms,2021,0.0,2
Oats,2012,24584.34,2
Oats,2013,24631.15,2
Oats,2014,27117.0,2
Oats,2015,28906.0,2
Oats,2016,35807.91,2
Oats,2017,34297.0,2
Oats,2018,35886.759999999995,2
Oats,2019,35807.91,2
Oats,2020,38585.0,2
Oats,2021,38233.0,2
Oil palm fruit,2012,556171.0,2
Oil palm fruit,2013,614071.0,2
Oil palm fruit,2014,655201.0,2
Oil palm fruit,2015,727441.0,2
Oil palm fruit,2016,787402.0,2
Oil palm fruit,2017,910973.0,2
Oil palm fruit,2018,987228.61,2
Oil palm fruit,2019,1006949.29,2
Oil palm fruit,2020,972801.73,2
Oil palm fruit,2021,1267489.16,2
Olives,2012,105755.0,2
Olives,2013,74210.0,2
Olives,2014,168932.0,2
Olives,2015,55653.0,2
Olives,2016,73275.66,2
Olives,2017,101534.0,2
Olives,2018,210869.41,2
Olives,2019,212543.74,2
Olives,2020,196183.85,2
Olives,2021,175306.92,2
Onions and shallots dry (excluding dehydrated),2012,795478.0,2
Onions and shallots dry (excluding dehydrated),2013,767140.0,2
Onions and shallots dry (excluding dehydrated),2014,776439.0,2
Onions and shallots dry (excluding dehydrated),2015,778989.0,2
Onions and shallots dry (excluding dehydrated),2016,723726.41,2
Onions and shallots dry (excluding dehydrated),2017,740690.0,2
Onions and shallots dry (excluding dehydrated),2018,659980.39,2
Onions and shallots dry (excluding dehydrated),2019,651950.3,2
Onions and shallots dry (excluding dehydrated),2020,619924.67,2
Onions and shallots dry (excluding dehydrated),2021,617350.25,2
Oranges,2012,455790.17,2
Oranges,2013,463925.98,2
Oranges,2014,478480.0,2
Oranges,2015,485031.0,2
Oranges,2016,521729.0,2
Oranges,2017,529834.0,2
Oranges,2018,534000.3200000001,2
Oranges,2019,541548.63,2
Oranges,2020,590428.28,2
Oranges,2021,607633.31,2
Other beans green,2012,21152.39,2
Other beans green,2013,19583.0,2
Other beans green,2014,19582.0,2
Other beans green,2015,20846.0,2
Other beans green,2016,19581.0,2
Other beans green,2017,15149.0,2
Other beans green,2018,15701.38,2
Other beans green,2019,15185.2,2
Other beans green,2020,17413.39,2
Other beans green,2021,21866.82,2
Other citrus fruit n.e.c.,2012,62759.44,2
Other citrus fruit n.e.c.,2013,64424.38,2
Other citrus fruit n.e.c.,2014,65863.12,2
Other citrus fruit n.e.c.,2015,67310.58,2
Other citrus fruit n.e.c.,2016,68628.23999999999,2
Other citrus fruit n.e.c.,2017,69790.84,2
Other citrus fruit n.e.c.,2018,68576.55,2
Other citrus fruit n.e.c.,2019,68998.55,2
Other citrus fruit n.e.c.,2020,69121.31,2
Other citrus fruit n.e.c.,2021,68899.14,2
